,Latitude,Longitude,City Name,Temperature,Humidity,Cloudiness,Windspeed
98,-15.25883922615077,-67.8205006879607,guanay,66.85,95,92,1.14
99,-14.902601734489664,-48.22360733003811,niquelandia,67.39,91,0,2.59
100,-14.783855903935958,-55.887623462733615,nobres,73.87,86,56,3.94
101,-14.665110073382252,-2.9189572028322885,jamestown,74.32,46,0,11.21
102,-14.546364242828545,-75.13017199389155,palpa,48.58,87,8,1.7
103,-14.427618412274853,117.18057442292326,waingapu,85.57,70,24,3.94
104,-14.071380920613748,56.75526623782423,cap malheureux,78.8,94,75,9.17
105,-13.952635090060042,65.93997650782163,grand gaube,78.8,94,75,9.17
106,-13.833889259506336,-48.706260676643424,porangatu,69.37,94,68,2.82
107,-13.596397598398937,36.454604710305944,cuamba,72.34,82,56,4.94
108,-13.358905937291524,-70.18914822863707,macusani,46.6,97,56,0.47
109,-12.883922615076713,-54.1624441793284,diamantino,72.88,92,32,2.37
110,-12.765176784523021,-77.5119998165248,chilca,50,87,75,3.36
111,-12.646430953969315,108.29672417789817,srandakan,82.42,100,8,4.61
113,-12.052701801200797,-68.44968408236798,puerto maldonado,71.62,97,32,2.15
114,-11.815210140093399,-70.08920245039789,iberia,72.07,96,88,1.7
115,-11.696464309539692,-116.77716035873212,rikitea,79.63,100,56,17.92
116,-11.340226817878587,52.86478052476264,sambava,81.61,98,20,18.48
117,-11.102735156771175,-74.68680084544468,satipo,63.34,94,68,1.36
119,-10.271514342895259,14.878093886484777,kibala,77,73,0,11.43
121,-9.796531020680447,33.86909207288056,karonga,72.52,100,56,3.38
122,-9.559039359573049,50.59309287001983,ambilobe,74.59,100,92,6.06
123,-9.440293529019343,-25.020334020592003,olinda,78.8,83,40,6.93
124,-9.084056037358238,17.295802272988766,malanje,65.77,97,88,3.6
125,-8.252835223482322,-61.142104600520824,aripuana,74.95,95,44,1.92
126,-8.134089392928615,-43.95669645960757,canto do buriti,68.92,91,20,2.93
127,-7.7778519012675105,22.0911237929717,lucapa,65.86,100,92,3.83
128,-7.659106070713804,-81.85728375085375,pimentel,74.59,96,76,2.26
129,-7.421614409606406,38.13880161498474,kisanga,66.4,88,8,5.61
130,-7.184122748498993,43.788879412164846,kilindoni,81.88,100,80,7.4
131,-6.946631087391594,108.97379889897033,bulakamba,82.69,100,0,6.73
132,-6.827885256837888,-27.157363025992765,pitimbu,73.4,88,20,6.51
133,-6.709139426284182,-51.027486396461825,sao felix do xingu,70.63,100,80,1.92
134,-6.352901934623077,18.008125547029067,kasongo-lunda,71.44,87,68,2.37
135,-6.234156104069385,-40.94319133368643,parambu,66.85,97,80,4.16
136,-5.996664442961972,33.995439158056286,mgandu,68.38,100,0,4.38
137,-5.7591727818545735,38.71601147886378,pangani,82.69,87,8,8.63
138,-5.640426951300867,27.469915171806463,kongolo,70.27,98,92,3.27
139,-5.521681120747161,-30.512977757881004,cabedelo,73.4,88,20,6.51
140,-5.284189459639762,-118.12207782216194,atuona,82.06,99,80,20.6
141,-5.165443629086056,39.843921741212625,chake chake,82.69,96,64,14
142,-5.04669779853235,110.48513004819404,mlonggo,87.82,80,0,2.71
143,-4.571714476317538,-62.048071319454166,codajas,75.49,96,8,2.71
144,-4.33422281521014,-84.59644203368846,talara,72.16,79,48,3.83
145,-4.2154769846564335,10.129789803417736,mayumba,79.36,100,44,5.73
146,-4.096731154102741,-6.158977437320445,tabou,81.07,99,8,7.63
147,-3.62174783188793,19.80960301531985,mangai,71.89,97,92,3.71
148,-3.503002001334224,14.51464475637286,kinkala,71.6,94,20,2.24
149,-3.3842561707805174,-61.71034892737181,anori,75.49,96,8,2.71
150,-3.146764509673119,96.5286607186546,padang,81.34,100,32,5.61
151,-2.5530353569046014,-27.50197852777754,natal,80.6,78,40,6.93
152,-2.315543695797203,18.306092125409265,inongo,69.73,100,92,3.71
153,-2.1967978652434965,-71.99225031785299,iquitos,77,83,75,5.82
154,-1.8405603735823917,-52.174758210171575,porto de moz,75.4,95,76,3.15
156,-1.4843228819212868,80.85080290345806,matara,40.39,100,48,2.15
157,-1.246831220813874,64.2170284394413,hithadhoo,85.3,98,88,10.42
158,-1.1280853902601677,10.465497209917828,fougamou,74.77,93,92,2.82
159,-1.0093395597064756,111.05347634592539,pangkalanbuun,87.73,88,48,3.71
160,-0.7718478985990629,-79.46790967772641,quevedo,61.27,100,92,0.69
161,-0.5343562374916644,32.9431946931046,kalangala,70,100,88,13.44
163,-0.17811874583055953,6.5029799488923175,port-gentil,80.44,99,88,3.38
164,0.05937291527685318,-67.38144783810606,sao gabriel da cachoeira,76.39,92,8,1.92
165,0.2968645763842517,-71.88693974060153,miraflores,53.44,100,92,1.92
166,0.41561040693795803,112.22449166427086,sri aman,89.6,70,75,1.12
167,0.6531020680453707,66.01605435225252,thinadhoo,85.93,95,88,10.09
